problem,maxsat_trans,maxsat_solve,maxsat_result
flush_reload,7535,97600,SAT
flush_reload,6861,96637,SAT
flush_reload,6936,96050,SAT
flush_reload,6711,97973,SAT
flush_reload,6943,96726,SAT
meltdown,15067,304613,SAT
meltdown,14772,302733,SAT
meltdown,15260,302318,SAT
meltdown,14675,296211,SAT
meltdown,14793,292825,SAT
spectre,27489,745354,SAT
spectre,29148,753028,SAT
spectre,27929,753853,SAT
spectre,28980,776356,SAT
spectre,28957,776389,SAT
