filename,table-based without partitions,table-based with partitions,tag-based without partitions,tag-based with partitions
13_24_13_6_3_7,11205,5032,19222,5039
13_25_13_6_3_7,6159,2130,7619,3357
13_26_13_6_3_7,36143,10318,17526,5791
13_27_13_6_3_7,7395,3787,7557,1991
13_28_13_7_3_7,N/A,N/A,N/A,N/A
13_29_13_7_3_7,N/A,27201,N/A,30849
13_30_13_7_3_7,N/A,N/A,N/A,N/A
13_31_13_7_3_7,N/A,N/A,N/A,N/A
13_32_13_8_3_7,N/A,N/A,N/A,N/A
13_33_13_8_3_7,N/A,N/A,N/A,N/A
13_34_13_8_3_7,N/A,N/A,N/A,N/A
13_35_13_8_3_7,N/A,N/A,N/A,N/A
